" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
اخیرا توو پیشنهاد ویژه این محصولو تهیه کردم. به نسبت هزینه ای که کردم این بالش خیلی خوبه و همچنین برای شرایط بارداری و قد من. اما اگر قد شما بیشتر از ۱۶۵ هست استفاده این بالش واستون مناسب نیست. و پاهاتون درد می گیره. کیفیت پارچه و همچنین رنگ اون خیلی خوب هست. ,"بالش, رنگ, قد, هزینه, کیفیت","positive, positive, neutral, positive, positive","['هczegóły محصول: Positive', 'شdiciones astray: Positive', 'قد: Negative', ' Paها: Negative', '品質 پارچه: Positive', '색: Positive']"
ادعا شده ساخت کره و مونتاژ ایرانه در نوع خودش بسیار باکیفیت و مناسبه یخچال بزرگ اما فریزر متوسط بر خلاف نظر دوستان صدایی نمیشنوم ازش یخسازش یه جعبه است که میشه هر جای فریزر گذاشت طبقات قلق دارن و روش کار باهاشون دستتون بیاد راحت باز میشن دقت کنید عرض درها زیاده و باید غیر از جای خود یخچال جای کافی برای باز شدن دربها داشته باشید ,فریزر,neutral,"['ساخت کره: Positive', ' مونتاژ: Positive', 'یخچال: Negative', 'فریزر: Negative', 'طبقات قلق: Positive', 'روش کار: Positive', 'عرض: Positive', 'جای: Negative']"
ادکلن وانیلی -چوبی با پخش بوی فوق العاده ضعیف و ماندگاری متوسط البته همون طور که از اسمش پیداست انتظار پخش بوی زیاد نباید داشت ,"پخش بوی, ماندگاری, اسمش","negative, neutral, negative","['چ Hoboken: Negative', 'پخش بوی: Negative', 'ماندگاری: Neutral']"
ادکلنی خنک شیرین ورایحهای اقیانوسی در ابتدا بویی خنک داره ودر انتها کمی شیرین میشه البته شیرینی ملایم من از سایت دیگری با قیمت کمتر خریدم و با چک کردن بچکد اصل بودن اون هم تایید شد ولی پخش بوی این ادکلن خیلی کم بود کم که نه بوی بدی نداره واحتمالا همه خوششون میاد ولی بوی تکراری هم داره واصلا جدید وخاص نیست درکنار این پخش ضعیف نیم ساعت وماندگاری متوسط وقیمت بالا رو که بذاریم حداقل برای من خریدش هیچ توجیهی نداره و بجای اون با این قیمت خیلی ادکلن بهتر وجود داره ,وماندگاری,neutral,"['بوی: Positive', ' Flavor: Positive', 'Price: Negative', 'Diffusion: Negative']"
ارتفاعش زیاده ,ارتفاعش,negative,[' ارتفاعش: Positive']
ارزش خرید داره ,ارزش خرید,positive,['Value: Positive']
ارزش خرید داره شک نکنید ,ارزش خرید,positive,['ارزش: Negative']
ارزش خرید داره گوشی کاملیه فقط سنسور قطب نما داشت عالی عالی میشد. ,گوشی,positive,['سنسور قطب: Positive']
ارزش خرید رو داره. ایا؟ ,ارزش خرید,neutral,['ارزش: Positive']
ارزش خرید ندارد ,ارزش خرید,negative,['ارժین: Negative']
ارزش خرید ندارد این گلس مربوط به می مکس یک نیست هوا میگیرد و صفحه نمایش را بدریخت میکند اما شفاف است فقط کاش سایز صفحه بود ,این گلس,negative,"['گلس: Negative', 'هوا: Negative', 'صفحه نمایش: Negative', 'شفافیت: Positive']"
ارزش خرید نداره با هزینه کمتر میشه انر۸ یا میت ۱۰ لایت خرید هم زیبا تره هم امکاناتش بیشتره ,انر۸ یا میت ۱۰ لایت,positive,"['ارزی: Positive', 'محتوى: Positive', 'ميزاتقات: Positive']"
ارزش خرید نسبتا خوبی داره تو رنج قیمت خودش گوشی عالیه ,"قیمت, ارزش خرید","positive, positive","['ارزی: Positive', 'قیمت: Negative']"
ارزشمند در شگفت انگیز با s۸+ اهنگ گوش کردم و خوب و رضایت بخش بود بیس انچنانی نداشت اونجوری ک روی جعبه نوشته بود نشتی صداش متوسطه و بسیار سبکه و قابلیت تاشدن هم داره فکر کنم در دراز مدت لولاهاش ضعیف باشه و بشکنه و باید مواظب باشید ولی در کل با توجه به قیمتش میارزه ,نشتی صداش,neutral,"['شگفت انگیز: Positive', 'آهنگ: Positive', 'از کارایی: Positive', 'جعبه: Negative', 'لولاها: Negative', 'قیمت: Positive']"
ارسال جنس اشتباهی، من این مدل رو خریداری کردم وقتی اومد در خونه ی چیز دیگه بود مدل philips norecola کیسه محافظ هم روش نبود کیفیت بدنه هم پایین ,کیفیت,negative,"[' جنس: Negative', 'رو: Negative', ' Model Philips norecola: Negative', ' کیسه: Negative', '品質 بدنه: Negative']"
ارسال و بسته بندی: ۱-از نحوه ارسال و بسته بندی راضی نبودم پرینتر رو با کارتون اصلی خودش فرستادن و فاکتور رو چسپ کردن به اون و چندجا کارتون زدگی داشت و کلی گرد و خاک روش بود ۲- یکروز دیرتر از موعد مقرر بدستم رسید (خرم اباد) بررسی پرینتر: ۱- تمام قطعات کیفیت متوسط دارن مثل کابل و محتویات داخل کارتون ۲- کابل برق نیاز به یک تبدیل دو شاخه دارد ۳- روی کاغذ معمولی کیفیت مناسبی ندارد که این مشکل کلی همه جوهرافشانها هست و دلیل اون مایع بودن جوهر هست مثل ماژیک که وقتی روی برگه میکشی از پشت معلومه و به برگه نفوذ میکنه ۴- وقتی برگه تازه چاپ شده رو دست بکشید جوهر پخش میشه برای همین باید چند ثانیه صبر کنید تا خشک بشه ۵- سرعت چاپ سریعتر از چیزی بود که از یک جوهر افشان انتظار داشتم ۶- اگر برگه رو درست در قسمت مخزن قرار ندید کج چاپ میکنه و باید گیره مخصوص رو با اندازه کاغذ تنظیم کنید نتیجه گیری: در کل نسبت به قیمت کیفیتش مناسبه و اگر هم ضعف هایی داره به خاطر قیمت پایینش هست و در مدلهای بالاتر که گرونتر هم هستن این ضعفها جبران میشه به قول معروف هرچی پول بدی اش میخوری …! استفاده در منزل خوبه و پاسخگوی نیازها هست برای اقتصادی بودن بهتره مخزن نسبت کنید و بجای خرید کارتریج با قیمت بالا فقط باید جوهر بریزید توی مخزن که مقدار چاپ ۲۰برابر بیشتر میشه و در اخر من از ۱۰۰ به این پرینتر نمره ۷۵میدم موفق باشید ,تمام قطعات,neutral,"['ارسال و بسته بندی: Negative', 'قطعات: Average', 'câبل برق: Positive', 'نقاط Quality: Negative', 'برگه: Positive', 'سرعت: Positive', 'مخزن: Positive']"
ارنفاع بالشت زیاده و گردن رو اذیت میکنه. باوجودی که فرو میره داخل ولی بازم ارتفاع زیادی داره. بدرد زیر دستیم نمیخوره چون فرو میره تو. پیشنهاد میکنم مدل تخت همین بالشت های طبی رو بگیرید عالین ,"ارنفاع, ارتفاع","negative, negative","['بالشت: Positive', 'گردن: Negative', 'ارتفاع: Negative', 'دست: Negative']"
ارگونومی خوبی داره و دارای طراحی شیک و خوبی هستش گوش رو اصلا اذیت نمیکنه کیفیت صداش خوبه صدای محیط رو هنگام استفاده کلا حذف میکنه یک سال هم گارانتی داره در کل راضیم ازش ,"ارگونومی, کیفیت صداش, طراحی","positive, positive, positive","['ارگون: Positive', 'طراحی: Positive', 'گوش: Negative', '品質: Positive', 'صوت: Negative']"
از النترا و کرولا قطعا بهتر هست و سردکن و گرم کن واقعا خوبی داره. ضمن اینکه موتور پرشتاب این خودرو واقعا در سربالایی ها و مسیرهای سخت جوابگوی راننده است. ,النترا و کرولا,negative,"['نترا: Positive', 'کرولا: Positive', 'سردکن: Positive', 'گرم کن: Positive', 'موتور: Positive']"
