sentence,aspect,polarity,LLM_aspect
اثر انگشتش در کسری از ثانیه و با صفحه خاموش باز میکنه اصلا هنگ نمیکنه و باتری خوبی داره دوربینش هم با توجه به نداشتن لرزش گیر اپتیکال خوبه و راضی کنندس ,"دوربینش, اثر انگشتش, باتری","positive, positive, positive","['اثر انگشتش: Neutral', 'صفحه خاموش باز میکنه: Neutral', 'هنگ نمیکنه: Positive', 'باتری خوبی داره: Positive', 'دوربینش با توجه به نداشتن لرزش گیر اپتیکال خوبه: Positive']"
اثر انگشتش سرعت معمولی داره. شارژ سریع نداره و با استفاده مداوم باید ۳ ساعت در روز شارژ بشه. کارت حافظه بالای ۳۲ میتونه بهتر جواب بده تا زود پر نشه. تو شیش ما استفاده راضیم ,"شارژ سریع, اثر انگشتش, حافظه","negative, neutral, negative","['اثر انگشتش: Neutral', 'سرعت معمولی داره: Neutral', 'شارژ سریع نداره: Negative', 'با استفاده مداوم باید ۳ ساعت در روز شارژ بشه: Negative', 'کارت حافظه بالای ۳۲ میتونه بهتر جواب بده: Neutral', 'تو شیش ما استفاده راضیم: Positive']"
اجناسی که گارانتی فیوچر دارن بدرد نمیخورن چون کیفیتشون پایینه دلیلشم تو گوگل سرچ کنید ,"کیفیتشون, گارانتی فیوچر","negative, negative","[اجناسی: Negative, گارانتی فیوچر: Negative, کیفیت: Negative]"
احساس میکنی روی چوب خوابیدی. من به شخصه بالش سفت دوست دارم اما این دیگه خیلی سفته. بعد از یک شب خواب احساس فشار زیاد به سر و گردن دارم. ,"بالش سفت, این","positive, negative","['بالش سفت: Neutral', 'احساس فشار زیاد به سر و گردن: Negative']"
اخرش بعد اونهمه کش و قوس و بالا پایین کردن گوشیهای همرده وحساسیت بسیار دلو زدم به دریا و رفتم از محلمون گرفتم. راجب صفحه باید بگم که از لحاظ زاویه دید خیلی عالی هستش واصلا اذیت نمیکنه باطری که فوق العاده و خوب جواب میده من که باحاش دو روز کار میکنم در کل اگه کسی خواست بخره تو این رنج قیمت به نظرم سراغ مدل های مثل دیگه coreو … نره و تو خریدش شک نکنه ,باطری,positive,"['صفحه: Excellent', 'باتری: Excellent', 'قیمت: Neutral']"
اخیرا توو پیشنهاد ویژه این محصولو تهیه کردم. به نسبت هزینه ای که کردم این بالش خیلی خوبه و همچنین برای شرایط بارداری و قد من. اما اگر قد شما بیشتر از ۱۶۵ هست استفاده این بالش واستون مناسب نیست. و پاهاتون درد می گیره. کیفیت پارچه و همچنین رنگ اون خیلی خوب هست. ,"بالش, رنگ, قد, هزینه, کیفیت","positive, positive, neutral, positive, positive","['بالش: Positive', 'قیمت بالش: Neutral', 'فشار بارداری و قد: Neutral', 'پارچه: Positive', 'رنگ: Positive']"
ادعا شده ساخت کره و مونتاژ ایرانه در نوع خودش بسیار باکیفیت و مناسبه یخچال بزرگ اما فریزر متوسط بر خلاف نظر دوستان صدایی نمیشنوم ازش یخسازش یه جعبه است که میشه هر جای فریزر گذاشت طبقات قلق دارن و روش کار باهاشون دستتون بیاد راحت باز میشن دقت کنید عرض درها زیاده و باید غیر از جای خود یخچال جای کافی برای باز شدن دربها داشته باشید ,فریزر,neutral,"['ساخت کره و مونتاژ ایرانه در نوع خودش بسیار باکیفیت و مناسبه یخچال بزرگ اما فریزر متوسط: Neutral', 'بر خلاف نظر دوستان صدایی نمیشنوم ازش: Positive', 'یخسازش یه جعبه است که میشه هر جای فریزر گذاشت طبقات قلق دارن و روش کار باهاشون دستتون بیاد راحت باز میشن: Neutral', 'دقت کنید عرض درها زیاده و باید غیر از جای خود یخچال جای کافی برای باز شدن دربها داشته باشید: Neutral']"
ادکلن وانیلی -چوبی با پخش بوی فوق العاده ضعیف و ماندگاری متوسط البته همون طور که از اسمش پیداست انتظار پخش بوی زیاد نباید داشت ,"پخش بوی, ماندگاری, اسمش","negative, neutral, negative",['ادکلن وانیلی: Positive']
ادکلنی خنک شیرین ورایحهای اقیانوسی در ابتدا بویی خنک داره ودر انتها کمی شیرین میشه البته شیرینی ملایم من از سایت دیگری با قیمت کمتر خریدم و با چک کردن بچکد اصل بودن اون هم تایید شد ولی پخش بوی این ادکلن خیلی کم بود کم که نه بوی بدی نداره واحتمالا همه خوششون میاد ولی بوی تکراری هم داره واصلا جدید وخاص نیست درکنار این پخش ضعیف نیم ساعت وماندگاری متوسط وقیمت بالا رو که بذاریم حداقل برای من خریدش هیچ توجیهی نداره و بجای اون با این قیمت خیلی ادکلن بهتر وجود داره ,وماندگاری,neutral,"['ادکلنی: Negative', 'شیرینی: Neutral', 'قیمت: Negative', 'پخش بوی: Negative', 'ماندگاری: Negative']"
ارتفاعش زیاده ,ارتفاعش,negative,"ارتش زیاده
        
        ['ارتش: Positive']"
ارزش خرید داره ,ارزش خرید,positive,['خرید داره: Positive']
ارزش خرید داره شک نکنید ,ارزش خرید,positive,['خرید داره: Positive']
ارزش خرید داره گوشی کاملیه فقط سنسور قطب نما داشت عالی عالی میشد. ,گوشی,positive,"['گوشی: Positive', 'سنسور قطب نما: Positive']"
ارزش خرید رو داره. ایا؟ ,ارزش خرید,neutral,"'ارزش خرید رو داره ایا؟'

['خرید: Neutral']"
ارزش خرید ندارد ,ارزش خرید,negative,['خرید: Negative']
ارزش خرید ندارد این گلس مربوط به می مکس یک نیست هوا میگیرد و صفحه نمایش را بدریخت میکند اما شفاف است فقط کاش سایز صفحه بود ,این گلس,negative,"[product]: Negative
صفحه نمایش: Negative
شفاف: Neutral
سایز صفحه: Neutral"
ارزش خرید نداره با هزینه کمتر میشه انر۸ یا میت ۱۰ لایت خرید هم زیبا تره هم امکاناتش بیشتره ,انر۸ یا میت ۱۰ لایت,positive,"['خرید: Neutral', 'نرخ ENERGY: Negative', 'قیمت: Negative', 'امکانات: Positive']"
ارزش خرید نسبتا خوبی داره تو رنج قیمت خودش گوشی عالیه ,"قیمت, ارزش خرید","positive, positive","'گوشی: Positive', 'رنج قیمت: Neutral'"
ارزشمند در شگفت انگیز با s۸+ اهنگ گوش کردم و خوب و رضایت بخش بود بیس انچنانی نداشت اونجوری ک روی جعبه نوشته بود نشتی صداش متوسطه و بسیار سبکه و قابلیت تاشدن هم داره فکر کنم در دراز مدت لولاهاش ضعیف باشه و بشکنه و باید مواظب باشید ولی در کل با توجه به قیمتش میارزه ,نشتی صداش,neutral,"[گوشی: Positive]
[صدا: Medium, Neutral]
[قابلیت تاشدن: Positive]
[قیمت: Positive]
[ظرفیت باتری درระยะ بلند: Negative]"
ارسال جنس اشتباهی، من این مدل رو خریداری کردم وقتی اومد در خونه ی چیز دیگه بود مدل philips norecola کیسه محافظ هم روش نبود کیفیت بدنه هم پایین ,کیفیت,negative,"['جنس اشتباهی: Negative', 'مدل philips norecola: Neutral', 'کیسه محافظ: Negative', 'کیفیت بدنه: Negative']"
ارسال و بسته بندی: ۱-از نحوه ارسال و بسته بندی راضی نبودم پرینتر رو با کارتون اصلی خودش فرستادن و فاکتور رو چسپ کردن به اون و چندجا کارتون زدگی داشت و کلی گرد و خاک روش بود ۲- یکروز دیرتر از موعد مقرر بدستم رسید (خرم اباد) بررسی پرینتر: ۱- تمام قطعات کیفیت متوسط دارن مثل کابل و محتویات داخل کارتون ۲- کابل برق نیاز به یک تبدیل دو شاخه دارد ۳- روی کاغذ معمولی کیفیت مناسبی ندارد که این مشکل کلی همه جوهرافشانها هست و دلیل اون مایع بودن جوهر هست مثل ماژیک که وقتی روی برگه میکشی از پشت معلومه و به برگه نفوذ میکنه ۴- وقتی برگه تازه چاپ شده رو دست بکشید جوهر پخش میشه برای همین باید چند ثانیه صبر کنید تا خشک بشه ۵- سرعت چاپ سریعتر از چیزی بود که از یک جوهر افشان انتظار داشتم ۶- اگر برگه رو درست در قسمت مخزن قرار ندید کج چاپ میکنه و باید گیره مخصوص رو با اندازه کاغذ تنظیم کنید نتیجه گیری: در کل نسبت به قیمت کیفیتش مناسبه و اگر هم ضعف هایی داره به خاطر قیمت پایینش هست و در مدلهای بالاتر که گرونتر هم هستن این ضعفها جبران میشه به قول معروف هرچی پول بدی اش میخوری …! استفاده در منزل خوبه و پاسخگوی نیازها هست برای اقتصادی بودن بهتره مخزن نسبت کنید و بجای خرید کارتریج با قیمت بالا فقط باید جوهر بریزید توی مخزن که مقدار چاپ ۲۰برابر بیشتر میشه و در اخر من از ۱۰۰ به این پرینتر نمره ۷۵میدم موفق باشید ,تمام قطعات,neutral,"['اسنال و بسته بندی: Negative',
'زمان تحویل: Neutral',
'کیفیت قطعات: Medium',
'کیفیت چاپ روی کاغذ معمولی: Negative',
'ویژگی چاپ سریع: Positive',
'ویژگی چاپ با گیره مخصوص: Neutral',
'قیمت: Positive',
'مخزن و جوهر بریزید توی مخزن: Positive']"
